"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.604998542E0,-6.172588353E-1,-2.625949466E-1,3.838469034E-1,7.728538161E-1
2.614979542E0,-4.483612072E-1,-4.671755737E-1,5.069974512E-1,8.223911504E-1
2.624960542E0,-1.668496408E-1,-9.863358182E-1,4.747190666E-1,1.107273833E0
2.634940542E0,-2.650876147E-1,-1.034367771E0,7.310446286E-1,1.294068923E0
2.644921542E0,-2.433065902E-1,-1.317251971E0,6.880523908E-1,1.505910670E0
2.654902542E0,-2.238444983E-1,-1.451980006E0,8.449121368E-1,1.694765121E0
2.664883542E0,-1.666576329E-1,-1.582775788E0,6.271922314E-1,1.710650186E0
2.674864542E0,-1.430082037E-1,-1.420645362E0,2.626411396E-1,1.451779928E0
2.684845542E0,-2.583880211E-1,-1.027304919E0,-1.807959080E-3,1.059303090E0
2.694826542E0,-4.536122261E-1,-6.426774126E-1,-7.495545745E-2,7.902003727E-1
2.704806542E0,-7.216559006E-1,-3.779827309E-1,-8.372043371E-2,8.189427909E-1
2.714787542E0,-9.352051333E-1,-3.157426286E-1,-8.657504439E-2,9.908568449E-1
2.724768542E0,-1.060652687E0,-4.000279033E-1,-8.730009913E-2,1.136937884E0
2.734749542E0,-1.005047639E0,-4.854147935E-1,-1.627759588E-1,1.127938071E0
2.744730542E0,-8.662698960E-1,-5.442810524E-1,-1.753848946E-1,1.037990972E0
2.754711542E0,-6.993874376E-1,-5.709297377E-1,-1.211151320E-1,9.109184533E-1
2.764692542E0,-6.575721712E-1,-6.203229225E-1,-1.247164321E-1,9.125545885E-1
2.774672542E0,-7.068004645E-1,-6.664422512E-1,-1.797036481E-1,9.879299429E-1
2.784653542E0,-6.694914280E-1,-6.245908052E-1,-2.516220617E-1,9.495504768E-1
2.794634542E0,-5.571304549E-1,-5.577343261E-1,-2.860083675E-1,8.386076011E-1
2.804615542E0,-4.730314871E-1,-5.095023984E-1,-4.176157433E-1,8.110205859E-1
2.814596542E0,-4.581907421E-1,-4.724988788E-1,-5.381800675E-1,8.501951139E-1
2.824577542E0,-5.827007675E-1,-4.551156914E-1,-5.550317430E-1,9.245164752E-1
2.834558542E0,-7.729828327E-1,-3.879843932E-1,-4.779478991E-1,9.881642289E-1
2.844538542E0,-7.997891736E-1,-2.765253532E-1,-2.651232827E-1,8.868028801E-1
2.854519542E0,-7.068706311E-1,-2.359176099E-1,3.633635223E-2,7.460854766E-1
2.864500542E0,-6.777775173E-1,-3.126968139E-1,2.329308522E-1,7.819325049E-1
2.874481542E0,-7.330803367E-1,-3.993133736E-1,3.383625823E-1,9.007481266E-1
2.884462542E0,-7.277427059E-1,-5.084855676E-1,3.395793879E-1,9.505162698E-1
2.894443542E0,-5.920868643E-1,-6.507038856E-1,1.940708417E-1,9.009139210E-1
2.904424542E0,-5.133902121E-1,-6.046032679E-1,-1.196626836E0,1.435628924E0
2.914404542E0,-8.669383058E-1,-1.087120181E-1,-2.865710451E0,2.995946715E0
2.924385542E0,-7.986473586E-1,-1.657100916E-2,-7.764926970E-1,1.114025633E0
2.934366542E0,-9.718855941E-1,-2.824672937E-2,1.386261395E0,1.693245446E0
2.944347542E0,-1.078882332E0,-3.225359237E-1,2.300403396E0,2.561224764E0
2.954328542E0,-8.137898929E-1,-7.218937361E-1,2.430361272E0,2.662712990E0
2.964309542E0,-5.918576534E-1,-8.282124889E-1,1.608190126E0,1.903288441E0
2.974290542E0,-7.069793893E-1,-7.534049660E-1,2.180227911E-1,1.055922742E0
2.984271542E0,-8.027876258E-1,-7.785333753E-1,-1.005850316E0,1.504100078E0
2.994251542E0,-5.584869359E-1,-7.127206242E-1,-1.045533614E0,1.383119259E0
3.004232542E0,-8.686605301E-1,-5.877603632E-1,-1.379747597E0,1.733129191E0
